"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo135","A","CHF",3500,"2742261CH","CB-Accent Global Equity Fund Cap B",85.5819999389648,68.46,239610,198651.086085288,-0.200065433749806,"E","Azioni e simili",239610,198651.086085288,261126.852659111,1701,14,NA,NA,NA,NA
"pippo135","A","USD",30,"12915350US","Citigroup Inc.",44.2480010986328,33.3,999,759.984785089388,-0.247423631052366,"E","Azioni e simili",916.6824,759.984785089388,999,296,1,NA,NA,NA,NA
"pippo135","O      ","EUR",2800,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20",10725.8051948052,11661,326508,326508,0.087191104836376,"D ","Obbligazioni e simili          ",393829.1172816,326508,429194.766,825,3,NA,NA,NA,NA
"pippo138","L","USD",0.00377117053949405,"","USD-548721.2120.333.03",NA,NA,0.00377117053949405,0.00286890113312594,NA,"A","Saldi in Cto. Corrente",0.00346042608703974,0.00286890113312594,0.00377117053949405,NA,40,NA,NA,NA,NA
"pippo138","L","CHF",-1.13249143396388e-08,"","CHF-548721.2120.001.03",NA,NA,-1.13249143396388e-08,-9.38903440337253e-09,NA,"A","Saldi in Cto. Corrente",-1.13249143396388e-08,-9.38903440337253e-09,-1.23418857232332e-08,NA,40,NA,NA,NA,NA
"pippo138","L","EUR",0.00245184379082275,"","EUR-548721.2120.814.03",NA,NA,0.00245184379082275,0.00245184379082275,NA,"A","Saldi in Cto. Corrente",0.0029573776932023,0.00245184379082275,0.0032229486630365,NA,40,NA,NA,NA,NA
"pippo139","L","EUR",-0.00393369493986029,"","EUR-548721.2120.814.02",NA,NA,-0.00393369493986029,-0.00393369493986029,NA,"A","Saldi in Cto. Corrente",-0.00474476461777437,-0.00393369493986029,-0.00517084199844635,NA,40,NA,NA,NA,NA
"pippo139","L","CHF",5.66251401323825e-09,"","CHF-548721.2120.001.02",NA,NA,5.66251401323825e-09,4.69456432829573e-09,NA,"A","Saldi in Cto. Corrente",5.66251401323825e-09,4.69456432829573e-09,6.17100480954474e-09,NA,40,NA,NA,NA,NA
"pippo139","L","USD",-0.00100003993511422,"","USD-",NA,NA,-0.00100003993511422,-0.000760775911079663,NA,"A","Saldi in Cto. Corrente",-0.000917636644460805,-0.000760775911079663,-0.00100003993511422,NA,40,NA,NA,NA,NA
"pippo140","L","USD",0.00197054060889634,"","USD-548721.2120.333.01",NA,NA,0.00197054060889634,0.00149907996112312,NA,"A","Saldi in Cto. Corrente",0.00180816806272328,0.00149907996112312,0.00197054060889634,NA,40,NA,NA,NA,NA
"pippo140","L","CHF",-4.7713479034428e-07,"","CHF-548721.2120.001.01",NA,NA,-4.7713479034428e-07,-3.95573408083833e-07,NA,"A","Saldi in Cto. Corrente",-4.7713479034428e-07,-3.95573408083833e-07,-5.19981244926199e-07,NA,40,NA,NA,NA,NA
"pippo140","L","EUR",-0.0021707413529839,"","EUR-548721.2120.814.01",NA,NA,-0.0021707413529839,-0.0021707413529839,NA,"A","Saldi in Cto. Corrente",-0.00261831609299715,-0.0021707413529839,-0.00285343950849733,NA,40,NA,NA,NA,NA
"pippo141","L","EUR",1407.25918804201,"","EUR-002",NA,NA,1407.25918804201,1407.25918804201,NA,"A","Saldi in Cto. Corrente",1697.41520518029,1407.25918804201,1849.84220268122,NA,40,NA,NA,NA,NA
"pippo141","L","USD",-6.02722298026492e-06,"","USD-001",NA,NA,-6.02722298026492e-06,-4.58518294428674e-06,NA,"A","Saldi in Cto. Corrente",-5.53057980669109e-06,-4.58518294428674e-06,-6.02722298026492e-06,NA,40,NA,NA,NA,NA
"pippo194","L","EUR",56911.594427009,"","EUR-0456-278309-32",NA,NA,56911.594427009,56911.594427009,NA,"A","Saldi in Cto. Corrente",68645.9229062608,56911.594427009,74810.2908743034,NA,40,NA,NA,NA,NA
"pippo194","L","EUR",0,"","EUR-CallGeld Fid-CALL GELD",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo194","L","CHF",0.0028052515932373,"","CHF-0456-278309-31",NA,NA,0.0028052515932373,0.00232572211401475,NA,"A","Saldi in Cto. Corrente",0.0028052515932373,0.00232572211401475,0.00305716171887239,NA,40,NA,NA,NA,NA
"pippo193","L","CHF",3.75722674317274,"","CHF-0247-778.883.01H",NA,NA,3.75722674317274,3.11496670923564,NA,"A","Saldi in Cto. Corrente",3.75722674317274,3.11496670923564,4.09462373929025,NA,40,NA,NA,NA,NA
"pippo193","L","EUR",1010.07872759492,"","EUR-0247-778.883.60P",NA,NA,1010.07872759492,1010.07872759492,NA,"A","Saldi in Cto. Corrente",1218.34201205982,1010.07872759492,1327.74848742352,NA,40,NA,NA,NA,NA
"pippo193","Oacc","EUR",1950,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20 Pro-rata",NA,NA,0,0,NA,"D","Obbligazioni e simili          ",0,0,0,825,3,NA,NA,NA,NA
"pippo193","A","CHF",1360,"2742261CH","CB-Accent Global Equity Fund Cap B",92.2761029411765,68.46,93105.6,77190.1363074261,-0.258096107031726,"E","Azioni e simili",93105.6,77190.1363074261,101466.434176112,1701,14,NA,NA,NA,NA
"pippo193","O      ","EUR",1950,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20",10852.512195122,11661,227389.5,227389.5,0.0744977559427624,"D ","Obbligazioni e simili          ",274273.8495354,227389.5,298903.49775,825,3,NA,NA,NA,NA
"pippo192","O      ","EUR",10000,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20",11428,11661,1166100,1166100,0.0203885194259712,"D ","Obbligazioni e simili          ",1406532.56172,1166100,1532838.45,825,3,NA,NA,NA,NA
"pippo192","A","USD",8000,"881454US","Ukrainian Inv Fd",19.1000003814697,23.9,191200,145454.545454545,0.251308875532123,"E","Azioni e simili",175445.12,145454.545454545,191200,1952,14,NA,NA,NA,NA
"pippo192","A","EUR",1844.31,"VGG7558X1924","Signet Credit I EUR Class Segregated Portfolio",105.119003295898,116.64,215120.3184,215120.3184,0.109599561857253,"E","Azioni e simili",259474.944273368,215120.3184,282775.6585368,1953,44,NA,NA,NA,NA
"pippo192","Oacc","EUR",10000,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20 Pro-rata",NA,NA,0,0,NA,"D","Obbligazioni e simili          ",0,0,0,825,3,NA,NA,NA,NA
"pippo192","L","EUR",-1126196.77839332,"","EUR-1.000253.01 100",NA,NA,-1126196.77839332,-1126196.77839332,NA,"A","Saldi in Cto. Corrente",-1358401.88638571,-1126196.77839332,-1480385.66519802,NA,40,NA,NA,NA,NA
"pippo191","L","USD",-0.00373498056615063,"","USD-usd",NA,NA,-0.00373498056615063,-0.00284136977265167,NA,"A","Saldi in Cto. Corrente",-0.00342721816749981,-0.00284136977265167,-0.00373498056615063,NA,40,NA,NA,NA,NA
"pippo191","L","CHF",0.000823241496618721,"","CHF-chf",NA,NA,0.000823241496618721,0.000682516662133411,NA,"A","Saldi in Cto. Corrente",0.000823241496618721,0.000682516662133411,0.000897168152374369,NA,40,NA,NA,NA,NA
